year,district_en,crop_group,area_ha,source
2009,Kokshetau,grain,2263,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2010,Kokshetau,grain,3016,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2011,Kokshetau,grain,2604,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2012,Kokshetau,grain,3704,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2013,Kokshetau,grain,2822,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2014,Kokshetau,grain,1801,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2015,Kokshetau,grain,1884,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2016,Kokshetau,grain,1859,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2017,Kokshetau,grain,3450,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2018,Kokshetau,grain,3449,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2019,Kokshetau,grain,3616,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2020,Kokshetau,grain,3679,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2021,Kokshetau,grain,3885,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2022,Kokshetau,grain,3807,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2023,Kokshetau,grain,4093,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2024,Kokshetau,grain,3832,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2025,Kokshetau,grain,2682,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=г.а. Кокшетау
2005,Sandyktau,grain,271330,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2006,Sandyktau,grain,281599,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2007,Sandyktau,grain,290987,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2008,Sandyktau,grain,292542,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2009,Sandyktau,grain,317016,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2010,Sandyktau,grain,315384,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2011,Sandyktau,grain,310390,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2012,Sandyktau,grain,313543,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2013,Sandyktau,grain,306750,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2014,Sandyktau,grain,293927,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2015,Sandyktau,grain,295648,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2016,Sandyktau,grain,280984,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2017,Sandyktau,grain,295834,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2018,Sandyktau,grain,289555,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2019,Sandyktau,grain,294090,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2020,Sandyktau,grain,305066,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2021,Sandyktau,grain,309752,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2022,Sandyktau,grain,314242,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2023,Sandyktau,grain,330386,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2024,Sandyktau,grain,311126,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2025,Sandyktau,grain,313240,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Сандыктауский
2005,Shortandy,grain,185447,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2006,Shortandy,grain,186850,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2007,Shortandy,grain,190382,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2008,Shortandy,grain,196241,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2009,Shortandy,grain,226939,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2010,Shortandy,grain,218090,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2011,Shortandy,grain,205463,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2012,Shortandy,grain,199787,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2013,Shortandy,grain,197888,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2014,Shortandy,grain,192054,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2015,Shortandy,grain,189969,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2016,Shortandy,grain,199106,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2017,Shortandy,grain,203089,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2018,Shortandy,grain,203975,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2019,Shortandy,grain,206237,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2020,Shortandy,grain,199386,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2021,Shortandy,grain,204912,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2022,Shortandy,grain,212946,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2023,Shortandy,grain,223597,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2024,Shortandy,grain,213746,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2025,Shortandy,grain,199451,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Шортандинский
2005,Tselinograd,grain,228620,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2006,Tselinograd,grain,229826,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2007,Tselinograd,grain,234097,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2008,Tselinograd,grain,247973,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2009,Tselinograd,grain,250544,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2010,Tselinograd,grain,238374,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2011,Tselinograd,grain,239891,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2012,Tselinograd,grain,230526,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2013,Tselinograd,grain,230651,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2014,Tselinograd,grain,233910,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2015,Tselinograd,grain,223549,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2016,Tselinograd,grain,232266,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2017,Tselinograd,grain,226749,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2018,Tselinograd,grain,203956,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2019,Tselinograd,grain,220220,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2020,Tselinograd,grain,226402,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2021,Tselinograd,grain,228626,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2022,Tselinograd,grain,224725,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2023,Tselinograd,grain,228083,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2024,Tselinograd,grain,215078,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2025,Tselinograd,grain,212061,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Целиноградский
2005,Zerenda,grain,205000,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2006,Zerenda,grain,210505,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2007,Zerenda,grain,219004,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2008,Zerenda,grain,214260,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2009,Zerenda,grain,223925,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2010,Zerenda,grain,170959,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2011,Zerenda,grain,162266,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2012,Zerenda,grain,166021,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2013,Zerenda,grain,171358,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2014,Zerenda,grain,155979,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2015,Zerenda,grain,163840,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2016,Zerenda,grain,181602,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2017,Zerenda,grain,179714,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2018,Zerenda,grain,179789,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2019,Zerenda,grain,193252,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2020,Zerenda,grain,209108,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2021,Zerenda,grain,205765,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2022,Zerenda,grain,207610,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2023,Zerenda,grain,247608,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2024,Zerenda,grain,220398,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2025,Zerenda,grain,217625,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Зерендинский
2005,Zhaksy,grain,326346,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2006,Zhaksy,grain,360486,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2007,Zhaksy,grain,373461,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2008,Zhaksy,grain,388489,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2009,Zhaksy,grain,404593,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2010,Zhaksy,grain,411531,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2011,Zhaksy,grain,407226,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2012,Zhaksy,grain,412914,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2013,Zhaksy,grain,411029,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2014,Zhaksy,grain,410079,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2015,Zhaksy,grain,408807,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2016,Zhaksy,grain,437243,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2017,Zhaksy,grain,435588,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2018,Zhaksy,grain,427881,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2019,Zhaksy,grain,447785,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2020,Zhaksy,grain,451317,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2021,Zhaksy,grain,450294,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2022,Zhaksy,grain,460734,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2023,Zhaksy,grain,477056,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2024,Zhaksy,grain,473653,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2025,Zhaksy,grain,470763,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Жаксынский
2005,Akmola_oblast,oilseeds,13030,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2006,Akmola_oblast,oilseeds,27956,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2007,Akmola_oblast,oilseeds,16901,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2008,Akmola_oblast,oilseeds,28726,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2009,Akmola_oblast,oilseeds,45760,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2010,Akmola_oblast,oilseeds,130456,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2011,Akmola_oblast,oilseeds,177827,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2012,Akmola_oblast,oilseeds,198588,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2013,Akmola_oblast,oilseeds,251526,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2014,Akmola_oblast,oilseeds,349227,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2015,Akmola_oblast,oilseeds,245608,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2016,Akmola_oblast,oilseeds,219714,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2017,Akmola_oblast,oilseeds,276540,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2018,Akmola_oblast,oilseeds,278382,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2019,Akmola_oblast,oilseeds,252972,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
